À partir de quelle date le règlement sur les données (Data Act) sera-t-il applicable ?;11 janvier 2024;12 septembre 2025;31 décembre 2025;12 janvier 2027;3;Selon l'article 50, les règles s'appliqueront à partir du 12 septembre 2025.
Qu'est-ce qu'un produit connecté selon le règlement ?;Un logiciel de traitement de texte;Un serveur de stockage distant;Un objet qui obtient ou génère des données sur son utilisation et peut les communiquer;Un téléphone non connecté;4;L'article 2 définit le produit connecté comme un objet recueillant des données sur son environnement et capable de les communiquer.
Comment est défini un service connexe ?;Un service de livraison à domicile;Une application de réseau social indépendante;Un service de télécommunication;Un service numérique dont l'absence empêcherait le produit d'exécuter ses fonctions;5;Le service connexe est connecté au produit de telle sorte que son absence entraverait le fonctionnement de ce dernier.
Comment les données relatives aux produits connectés doivent-elles être accessibles par défaut ?;Uniquement contre rémunération;Totalement inaccessibles;Accessibles à l'utilisateur de manière aisée, sécurisée et sans frais;Accessibles seulement au fabricant;4;L'article 3 impose que les produits soient conçus pour que les données générées soient facilement et gratuitement accessibles à l'utilisateur.
Quelle entité NE PEUT PAS recevoir de données en tant que tiers à la demande de l'utilisateur ?;Une start-up innovante;Une PME locale;Un organisme de recherche public;Une entreprise désignée comme contrôleur d'accès (gatekeeper);5;Les grandes plateformes désignées comme contrôleurs d'accès par le DMA ne sont pas éligibles pour recevoir ces données afin de ne pas fausser la concurrence.
Que se passe-t-il si le partage de données implique des secrets d'affaires ?;Des mesures techniques et organisationnelles doivent être convenues pour préserver la confidentialité;Le partage est systématiquement interdit;Les secrets doivent être divulgués publiquement;L'utilisateur doit payer une taxe spéciale;2;Le détenteur des données et l'utilisateur doivent convenir de mesures de protection strictes avant toute divulgation de secrets d'affaires.
Quelle utilisation des données obtenues par l'utilisateur est strictement interdite ?;Améliorer son propre service client;Réparer le produit connecté en panne;Développer un produit connecté concurrent;Les partager avec un service après-vente;4;L'utilisateur ne peut pas se servir des données obtenues pour mettre au point un produit connecté qui concurrencerait directement celui dont proviennent les données.
Les obligations de partage de données s'appliquent-elles aux microentreprises et petites entreprises fabricantes ?;Oui sans aucune exception;Non, elles en sont exemptées sauf si elles sous-traitent pour une grande entreprise;Uniquement si elles produisent plus de 1000 appareils;Oui mais avec un délai de carence de 5 ans;3;Le règlement exempte les micro et petites entreprises de ces obligations pour ne pas freiner leur capacité d'innovation et de croissance.
Lors d'un partage de données entre entreprises, comment est fixée la compensation financière ?;Elle est toujours gratuite;Elle est fixée unilatéralement par le fabricant sans recours;Elle est déterminée par la Commission européenne;Elle doit être raisonnable, non discriminatoire et peut inclure une marge;5;La compensation pour la mise à disposition des données doit être équitable, raisonnable et transparente, et peut inclure une marge bénéficiaire.
Si le destinataire des données est une PME, à quoi se limite la compensation exigée par le détenteur ?;Aux coûts directement liés à la mise à disposition des données (sans marge);À 50% du prix du marché global;À un abonnement mensuel obligatoire;À la gratuité totale et inconditionnelle;2;Pour protéger les PME, la compensation ne doit pas excéder les coûts techniques et administratifs directs liés à la fourniture des données.
De quel délai dispose un organe de règlement des litiges pour prendre sa décision ?;30 jours;6 mois;90 jours;1 an;4;L'organe certifié par un État membre doit statuer sur le litige dans un délai de 90 jours à compter de la réception de la demande.
Qu'est-ce qui caractérise une clause contractuelle présumée abusive dans les contrats de partage de données B2B ?;Elle a été négociée pendant plus d'un mois;Elle propose un tarif inférieur au marché;Elle permet à l'utilisateur de résilier facilement;Elle a été imposée unilatéralement et s'écarte des bonnes pratiques commerciales;5;Les clauses imposées unilatéralement créant un déséquilibre significatif au détriment d'une entreprise ne sont pas contraignantes car abusives.
En cas d'urgence publique (ex: catastrophe naturelle), quelles sont les conditions financières pour la fourniture de données au secteur public ?;Le secteur public paie le double;Les données doivent être fournies gratuitement par la plupart des entreprises;L'entreprise fixe librement son prix de vente;Une taxe environnementale est appliquée;3;En situation d'urgence publique, les détenteurs de données (hors micro/petites entreprises) doivent fournir les données gratuitement au secteur public.
Lorsqu'un organisme du secteur public demande des données pour un besoin exceptionnel hors urgence, quel type de données peut-il obtenir ?;Exclusivement des données à caractère personnel;Uniquement des données à caractère non personnel;Des données médicales sensibles;Les mots de passe des utilisateurs;3;Pour des besoins exceptionnels non liés à une urgence absolue (comme les statistiques officielles), la demande est strictement limitée aux données non personnelles.
Quel est le délai de préavis maximal qu'un fournisseur de cloud peut imposer pour le lancement d'un changement de fournisseur ?;15 jours;2 mois;6 mois;12 mois;3;Le contrat de service de traitement de données doit prévoir un délai de préavis maximal ne dépassant pas deux mois pour entamer le processus de migration.
Que prévoit le règlement concernant les frais facturés aux clients pour changer de fournisseur de cloud ?;Ils sont doublés pour fidéliser;Ils sont plafonnés à un forfait unique;Ils doivent être totalement supprimés à partir du 12 janvier 2027;Ils sont laissés au libre choix du fournisseur;4;Afin d'éviter le verrouillage technologique, les frais de changement de fournisseur seront progressivement réduits puis totalement supprimés en 2027.
Sous quelle condition un transfert international de données non personnelles vers une autorité étrangère est-il autorisé ?;Uniquement s'il est fondé sur un accord international en vigueur tel qu'un traité d'entraide judiciaire;S'il est demandé par simple e-mail de l'ambassade;Si l'entreprise accepte de payer une amende;Si les données sont préalablement traduites;2;Pour protéger les données européennes contre des accès gouvernementaux étrangers abusifs, un accord international formel est indispensable.
Quelle est l'une des exigences essentielles imposées aux contrats intelligents (smart contracts) de partage de données ?;Ils doivent être écrits dans un langage spécifique;Ils ne doivent conserver aucun historique des transactions;Ils doivent inclure un mécanisme sécurisé d'interruption et de résiliation;Ils doivent être accessibles sans mot de passe;4;L'article 36 exige que les contrats intelligents soient robustes et disposent d'un mécanisme de résiliation ou d'interruption sécurisé en cas de problème.
Quel est le rôle du coordinateur de données désigné par un État membre ?;Vendre les données gouvernementales aux enchères;Agir comme point de contact unique et faciliter la coopération entre autorités;Surveiller les communications privées des citoyens;Développer des logiciels d'intelligence artificielle publics;3;Si un État membre désigne plusieurs autorités, un coordinateur de données sert de point de contact central et coordonne l'application du règlement.
Sur quoi les autorités peuvent-elles s'aligner pour imposer des amendes administratives en cas d'infraction ?;Sur le code de la route européen;Sur les plafonds d'amendes prévus par le règlement général sur la protection des données (RGPD);Sur une charte d'autorégulation non contraignante;Sur un montant forfaitaire maximal de 1000 euros;3;L'article 40 prévoit que pour certaines infractions graves, les amendes peuvent atteindre les plafonds de l'article 83 du RGPD.
Comment le règlement Data Act définit-il le terme Données ?;Uniquement les informations personnelles identifiables;Des fichiers exclusivement cryptés;Toute représentation numérique d'actes, de faits ou d'informations;Uniquement des signaux radiofréquences analogiques;4;L'article 2 définit très largement les données comme toute représentation numérique d'actes, faits ou informations, y compris sous forme d'enregistrements.
Quelle information le vendeur d'un produit connecté doit-il impérativement fournir avant la signature du contrat ?;Le type, le format et le volume estimé des données générées par le produit;Le code source complet du logiciel embarqué;Le salaire de l'équipe de développement;La liste des sous-traitants électroniques asiatiques;2;Par souci de transparence, l'utilisateur doit être informé préalablement de la nature, du format et du volume des données que son futur produit générera.
Qu'est-ce que l'équivalence fonctionnelle dans le cadre d'un changement de cloud ?;Le fait d'avoir exactement le même prix chez le nouveau fournisseur;Le droit de revendre le service à un tiers;Le rétablissement d'un niveau minimal de fonctionnalité donnant un résultat comparable dans le nouvel environnement;La copie physique exacte des serveurs informatiques;4;L'équivalence fonctionnelle assure que le service cible donne un résultat sensiblement comparable en réponse à la même entrée après la migration du client.
Que prévoit le règlement concernant le droit sui generis sur les bases de données (directive 96/9/CE) ?;Il est étendu à toutes les données de l'internet des objets;Il s'applique exclusivement aux grandes multinationales;Il remplace le système des brevets technologiques;Il ne s'applique pas aux bases contenant des données générées par des produits connectés visés par ce texte;5;L'article 43 précise que le droit sui generis ne s'applique pas aux données obtenues à partir de produits connectés pour éviter d'entraver les droits d'accès des utilisateurs.
Un utilisateur peut-il utiliser un service d'intermédiation de données pour partager ses informations ?;Non car c'est strictement interdit par le texte;Uniquement pour des données de santé très spécifiques;Oui pour l'aider à établir des relations commerciales et agréger l'accès;Seulement si l'utilisateur est une institution bancaire reconnue;4;Les services d'intermédiation sont prévus et encouragés pour faciliter le partage B2B et B2C en regroupant les offres et en protégeant les utilisateurs.
